CustomerID,Recommendations
C0001,"[('C0005', 0.95), ('C0007', 0.92), ('C0010', 0.90)]"
C0002,"[('C0003', 0.94), ('C0008', 0.91), ('C0006', 0.89)]"
C0003,"[('C0001', 0.93), ('C0005', 0.91), ('C0007', 0.90)]"
C0004,"[('C0006', 0.92), ('C0008', 0.90), ('C0010', 0.88)]"
C0005,"[('C0009', 0.95), ('C0003', 0.92), ('C0007', 0.90)]"
C0006,"[('C0004', 0.93), ('C0008', 0.91), ('C0002', 0.89)]"
C0007,"[('C0001', 0.94), ('C0005', 0.92), ('C0003', 0.91)]"
C0008,"[('C0006', 0.93), ('C0002', 0.91), ('C0010', 0.89)]"
C0009,"[('C0005', 0.94), ('C0007', 0.91), ('C0003', 0.89)]"
C0010,"[('C0004', 0.93), ('C0008', 0.91), ('C0006', 0.88)]"
